developer,price,Año
FIVE-BN GAMES,0.0,2016
FIVE-BN GAMES,0.0,2016
FIVE-BN GAMES,0.0,2015
FIVE-BN GAMES,0.0,2016
FIVE-BN GAMES,0.0,2017
Falcon Development,0.0,2017
Falcon Development,0.0,2017
Fallen Snow Studios,0.0,2017
Fallen Snow Studios,0.0,2016
FantaBlade Network,0.0,2017
FantaBlade Network,0.0,2016
Fantasy Flight Games,0.0,2016
Fantasy Flight Games,0.0,2017
Fantasy Flight Games,0.0,2016
"Far East War Development Team,Relic",0.0,2016
"Far East War Development Team,Relic",0.0,2013
"FarSight Studios, Inc.",0.0,2016
"FarSight Studios, Inc.",0.0,2016
Fasold Games,0.0,2017
Fasold Games,0.0,2017
Fast Forward Games,0.0,2016
Fast Forward Games,0.0,2016
Fatshark,0.0,2017
Fatshark,0.0,2016
Fatshark,0.0,2011
Fatshark,0.0,2015
Fatshark,0.0,2015
Fatshark,0.0,2016
Felip Guimerà,0.0,2016
Felip Guimerà,0.0,2016
Fervent,0.0,2016
Fervent,0.0,2015
FiolaSoft Studio,0.0,2015
FiolaSoft Studio,0.0,2016
FireFly Studios,0.0,2012
FireFly Studios,0.0,2017
Flump Studios,0.0,2014
Flump Studios,0.0,2015
Flying Wild Hog,0.0,2017
Flying Wild Hog,0.0,2012
Flying Wild Hog,0.0,2016
Flying Wild Hog,0.0,2016
For All To Play,0.0,2016
For All To Play,0.0,2014
ForepawSoft,0.0,2016
ForepawSoft,0.0,2014
Forever Entertainment S. A.,0.0,2014
Forever Entertainment S. A.,0.0,2017
Forever Entertainment S. A.,0.0,2014
Forever Entertainment S. A.,0.0,2014
Four Lights,0.0,2014
Four Lights,0.0,2014
Freakinware Studios,0.0,2016
Freakinware Studios,0.0,2015
Freebird Games,0.0,2015
Freebird Games,0.0,2015
Frogwares,0.0,2016
Frogwares,0.0,2008
Funcom,0.0,2016
Funcom,0.0,2013
Funcom,0.0,2017
Funcom,0.0,2001
Funcom,0.0,2017
Funcom,0.0,2017
"Future Games Select,Cayle George",0.0,2017
"Future Games Select,Cayle George",0.0,2017
Futuremark,0.0,2016
Futuremark,0.0,2015
Futuremark,0.0,2015
Futuremark,0.0,2015
Futuremark,0.0,2015
Futuremark,0.0,2015
G.rev Ltd.,0.0,2017
G.rev Ltd.,0.0,2017
G.rev Ltd.,0.0,2017
GSC Game World,0.0,2017
GSC Game World,0.0,2017
Galaxy Gate,0.0,2017
Galaxy Gate,0.0,2014
GalaxyTrail,0.0,2014
GalaxyTrail,0.0,0
GameArt Studio GmbH,0.0,2015
GameArt Studio GmbH,0.0,2015
GameTop.com,0.0,2017
GameTop.com,0.0,2016
Gameloft,0.0,2017
Gameloft,0.0,2017
Gameloft,0.0,2017
Gameloft,0.0,2017
Gearbox Software,0.0,2016
Gearbox Software,0.0,2013
Gearbox Software,0.0,2013
Ghost Machine,0.0,0
Ghost Machine,0.0,0
Gigatross Games,0.0,2015
Gigatross Games,0.0,2015
Gigatross Games,0.0,2015
Goldbar Games,0.0,2017
Goldbar Games,0.0,2017
Good Games,0.0,2016
Good Games,0.0,2017
Gravity Interactive,0.0,2012
Gravity Interactive,0.0,2017
Gravity Interactive,0.0,2010
Gravity Interactive,0.0,2003
Great War Team,0.0,2016
Great War Team,0.0,2015
Great War Team,0.0,2015
Great War Team,0.0,2016
Great War Team,0.0,2015
Great War Team,0.0,2014
Grey Gods,0.0,2017
Grey Gods,0.0,2017
Gunsquad,0.0,0
Gunsquad,0.0,0
Guru Games,0.0,2015
Guru Games,0.0,2015
Guru Games,0.0,2016
Haemimont Games,0.0,2015
Haemimont Games,0.0,2015
Haemimont Games,0.0,2015
Haemimont Games,0.0,2015
"Hassey Enterprises, Inc.",0.0,2016
"Hassey Enterprises, Inc.",0.0,2014
Hi-Rez Studios,0.0,2016
Hi-Rez Studios,0.0,2015
Hi-Rez Studios,0.0,2012
Hi-Rez Studios,0.0,2017
Hi-Rez Studios,0.0,2017
Holotech Studios,0.0,2016
Holotech Studios,0.0,2016
Holotech Studios,0.0,2016
Holotech Studios,0.0,2014
Holotech Studios,0.0,2014
Holotech Studios,0.0,2014
Holotech Studios,0.0,2015
Holotech Studios,0.0,2016
Holotech Studios,0.0,2016
Holyday Studios,0.0,2017
Holyday Studios,0.0,2017
Home Net Games,0.0,2017
Home Net Games,0.0,2016
Home Net Games,0.0,2016
Hosted Games,0.0,2014
Hosted Games,0.0,2015
Hosted Games,0.0,2011
Hosted Games,0.0,2015
Hunted Cow Studios,0.0,2016
Hunted Cow Studios,0.0,2014
Hyper Hippo Games,0.0,2015
Hyper Hippo Games,0.0,2017
Hyper Hippo Games,0.0,2016
Hyper Hippo Games,0.0,2015
ICE Entertainment,0.0,2015
ICE Entertainment,0.0,2016
ICE Entertainment,0.0,2015
ICE Entertainment,0.0,2015
ICE Entertainment,0.0,2016
"IDEA FACTORY Co., Ltd.,COMPILE HEART Co., Ltd.,FELISTELLA Co., Ltd.",0.0,2015
"IDEA FACTORY Co., Ltd.,COMPILE HEART Co., Ltd.,FELISTELLA Co., Ltd.",0.0,2015
"IDEA FACTORY Co., Ltd.,COMPILE HEART Co., Ltd.,FELISTELLA Co., Ltd.",0.0,2015
IObit,0.0,2015
IObit,0.0,2016
IObit,0.0,2017
IPACS,0.0,2017
IPACS,0.0,2017
IPACS,0.0,2017
ISOTX,0.0,2008
ISOTX,0.0,2015
ISOTX,0.0,2015
ISOTX,0.0,2015
Imigea Ltd,0.0,2016
Imigea Ltd,0.0,2016
Imigea Ltd,0.0,2015
Imperia Online LTD,0.0,2016
Imperia Online LTD,0.0,2017
IndigoBlue Game Studio,0.0,2016
IndigoBlue Game Studio,0.0,0
Infinity Ward,0.0,2017
Infinity Ward,0.0,2013
Initiative Games,0.0,2017
Initiative Games,0.0,2017
Innomen Productions,0.0,0
Innomen Productions,0.0,2016
Insanity Games,0.0,2016
Insanity Games,0.0,0
InvertMouse,0.0,2014
InvertMouse,0.0,2015
InvertMouse,0.0,2015
InvertMouse,0.0,2015
InvertMouse,0.0,2015
InvertMouse,0.0,2014
"Io-Interactive A/S,Feral Interactive (Linux),Feral Interactive (Mac)",0.0,2016
"Io-Interactive A/S,Feral Interactive (Linux),Feral Interactive (Mac)",0.0,2016
"Io-Interactive A/S,Feral Interactive (Linux),Feral Interactive (Mac)",0.0,2016
"Io-Interactive A/S,Feral Interactive (Linux),Feral Interactive (Mac)",0.0,2016
"Io-Interactive A/S,Feral Interactive (Linux),Feral Interactive (Mac)",0.0,2017
"Io-Interactive A/S,Feral Interactive (Linux),Feral Interactive (Mac)",0.0,2017
"Io-Interactive A/S,Feral Interactive (Linux),Feral Interactive (Mac)",0.0,2016
Iron 27,0.0,2017
Iron 27,0.0,2016
Ithaqua Labs,0.0,2016
Ithaqua Labs,0.0,2017
Ithaqua Labs,0.0,2017
"JCR Soft Co., Ltd",0.0,2014
"JCR Soft Co., Ltd",0.0,2014
